id,name,ibu,ibu_category,ibu_category_nbr,srm,srm_category,srm_category_nbr,abv,abv_category,abv_category_nbr,ebc,attenuation_level,attenuation_category,attenuation_category_nbr,description,image_url,ph,tagline,brewers_tips,outcome,malts_name,amount.unit_x,hops_name,hops_add,hops_attribute,amount.unit_y,food_pairing
172,Single Hop Enigma IPA - B-Sides,50.0,IBU High,3,5.0,Pale Gold,3,5.0,ABV Low,1,10.0,78.0,Atten Medium,2,"A cheeky play with a new hop on the pilot kit. Expect notes of redcurrant, melon and citrus. An intriguing possibility for the future.",https://images.punkapi.com/v2/keg.png,4.4,Enigma Hopped IPA.,Enigma has a very high alpha acid so be careful not to over do the bittering hops.,IBU High Pale Gold ABV Low Atten Medium,Propino Pale Malt,kilograms,"Enigma,Enigma,Enigma","start,middle,end","bitter,flavour,flavour","grams,grams,grams","Jalapeño poppers with blue cheese dip,T-bone steak with fried onions,Carrot cake with cream cheese frosting"
173,Chinook - IPA Is Dead,100.0,IBU High,3,6.0,Deep Gold,4,7.2,ABV Low,1,12.0,84.0,Atten High,3,"2015 IPA is Dead series. Often used as a combination hop for American Pale Ales and IPAs, Chinook can really shine when left to front a beer all on its own. The main reason for this is that itâ€™s thunderously piney, with a fistful of spice kicked up in your face as you lie on the beach. A true heavyweight of the brewing industry.",https://images.punkapi.com/v2/173.png,4.4,Single Hop India Pale Ale.,Chinook is a hop that can really shine on its own so don't be shy and really throw it at this IPA,IBU High Deep Gold ABV Low Atten High,Extra Pale,kilograms,"Chinook,Chinook,Chinook","start,middle,end","bitter,flavour,flavour","grams,grams,grams","Chicken fajita spiced monteray jack quesadillas,Chilli lime and coriander marinated king prawn cocktail,Margarita key lime pie"
174,Konnichiwa Kitsune,70.0,IBU High,3,15.0,Deep Amber,8,4.4,ABV Low,1,30.0,82.9,Atten High,3,"Named in a slight deviation from our Hello My Name Is series, Konnichiwa Kitsune is a Japanese- inspired, yuzu-infused Imperial IPA, brewed with Amarillo, Cascade and Citra. These punchy new world hops bring orange, grapefruit and lime to back up the yuzu aroma and flavour. Big mandarin notes, balanced against a caramel malt biscuity base.",https://images.punkapi.com/v2/174.png,4.4,Hello My Name Is Yuzu.,"Squeeze the fresh yuzu juice directly into the beer after primary fermentation is complete. Putting it in the hot wort may seem like better practice, but the juice will cook and some of the fresh citrus character will be lost.",IBU High Deep Amber ABV Low Atten High,"Extra Pale,Caramalt","kilograms,kilograms","Amarillo,Citra,Cascade,Amarillo,Citra,Cascade,Amarillo,Citra,Cascade,Citra,Amarillo,Cascade","start,start,start,middle,middle,middle,end,end,end,dry hop,dry hop,dry hop","bitter,bitter,bitter,flavour,flavour,flavour,flavoour,flavouor,flavour,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams,grams,grams,grams,grams","Fresh seared tuna and rocket salad,Lemon meringue pie,Baked chicken with yuzu reduction"
175,San Diego Scotch Ale (w/Ballast Point),70.0,IBU High,3,95.0,Black,12,9.0,ABV Medium,2,190.0,80.0,Atten Medium,2,"Whisky cask aged with raisins soaked in rum. Warm, chocolatey and boozy with refreshing resinous bitterness and a lingering toasty biscuit background from the malt. Toasted oak comes courtesy of the barrels and spicy, sweet, dark fruit flavours from the rum soaked raisins.",https://images.punkapi.com/v2/175.png,4.4,Imperial Scotch Ale With Rum & Raisin.,"Soak oak chips in rum, then steep in the beer for the rum cash finish.",IBU High Black ABV Medium Atten Medium,"Pale Ale - Tipple,Munich,Crystal,Dark Crystal,Carafa Special Malt Type 1","kilograms,kilograms,kilograms,kilograms,kilograms","First Gold,Challenger,Amarillo","start,end,end","bitter,flavour,flavour","grams,grams,grams","Venison stroganoff,Chilli dog,Toffee chocolate cheesecake"
176,Old World India Pale Ale,80.0,IBU High,3,25.0,Ruby Brown,10,7.5,ABV Low,1,50.0,82.6,Atten High,3,"This recreated the epic IPAs that were sent on monumental ocean voyages from England to India by sea in the 1800s. Medium bodied with a complex malt profile, backed up with intense bitterness and a woodsy, earthy rich English hop character.",https://images.punkapi.com/v2/176.png,4.4,English India Pale Ale.,"In beers like this with a hefty malt bill, it pays to check a spoonful of the mash with some iodine solution. This will indicate if the mash has converted all of the starch into fermentable sugars. If the colour is very dark, just extend the mash rest by 10 mins and check again.",IBU High Ruby Brown ABV Low Atten High,"Maris Otter Extra Pale,Amber,Crystal 150","kilograms,kilograms,kilograms","Bramling Cross,First Gold,Bramling Cross","start,end,end","bitter,flavour,flavour","grams,grams,grams","Honey glazed ham with spicy roasted carrots,Mature cheddar with spicy chutney,Peach cobbler"
177,Dog D,85.0,IBU High,3,200.0,Black,12,16.1,ABV High,3,400.0,84.0,Atten High,3,"Dog D is an extra special brew, marking 8 years of BrewDog. Like Dog A, B & C before it, Dog D is an Imperial Stout with speciality ingredients, only this time weâ€™ve barrel-aged it too. Dog D pours like dark matter into your glass, with a deep tan head. The nose is subtle but powerful, and on the palate, thereâ€™s a treacle toffee backbone, supporting the spicy hop flavour and naga chilli heat.",https://images.punkapi.com/v2/177.png,4.3,Anniversary Imperial Stout.,"Steep the coffee in the hot wort for short periods to get the best extraction of aromatic oils, without gaining too much bitterness.",IBU High Black ABV High Atten High,"Pale Ale,Wheat,Flaked Oats,Dark Crystal,Carafa Special Malt Type 1,Carafa Special Malt Type 3,Rye,Brown","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","Chinook,Fuggles,Fuggles,Willamette,Ginger Powder,Honey,Cold Infused Coffee","start,middle,end,end,end,end,end","bitter,flavour,flavour,flavour,flavour,flavour,flavour","grams,grams,grams,grams,grams,grams,grams","Sriracha infused shredded beef,Chipotle steak tacos,Chilli chocolate fondant"
178,Simcoe,70.0,IBU High,3,15.0,Deep Amber,8,6.7,ABV Low,1,30.0,81.0,Atten Medium,2,"A special release of our IPA is Dead series - IPA is Dead Simoce. Hopped to hell with citrusy bitter and aroma hops from the West Coast of the USA. Bitter, orange, mandarin, floral, this IPA showcases the best the west has to offer.",https://images.punkapi.com/v2/178.png,4.4,Single Hop India Pale Ale.,Get the freshest Simcoe for the best profile.,IBU High Deep Amber ABV Low Atten Medium,"Extra Pale,Caramalt,Dark Crystal,Munich","kilograms,kilograms,kilograms,kilograms","Simcoe,Simcoe,Simcoe,Simcoe","start,middle,end,dry hop","bitter,flavour,flavour,aroma","grams,grams,grams,grams","Beer roasted chicken,Ham and pineapple pizza,Chocolate cake drizzled with orange"
179,How To Disappear Completely,198.0,IBU High,3,19.0,Amber Brown,7,3.5,ABV Low,1,37.0,73.0,Atten Medium,2,"Jam-packed with two of our favourite hops - Columbus and Centennial, it has 198 (yes one hundred and ninety eight) theoretical IBUs. We use a lot of caramalt, some amber malt and some chocolate malt to give the little beer as much body and mouthfeel as possible and the ability to handle all the hops we threw at it. We think this beer is the worldâ€™s first ever Imperial Mild. Imperial in terms of hop profile. An Imperially Hopped Mild. BrewDogâ€™s Imperial Mild. How to Disappear Completely.",https://images.punkapi.com/v2/179.png,4.4,Fake Fix Double IPA.,"Dry Hopping: Columbus 37.5g, Centennial 37.5g, Galena 37.5g, Horizon 37.5g",IBU High Amber Brown ABV Low Atten Medium,"Extra Pale,Wheat Malt,Munich,Caramalt,Pale Crystal 60,Dark Crystal 350,Amber,Chocolate","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","Centennial,Centennial,Centennial,Columbus,Centennial,Columbus,Centennial,Columbus,Galena,Simcoe","start,start,start,start,middle,middle,end,end,end,end","bitter,bitter,bitter,bitter,flavour,flavour,flavour,flavour,flavour,flavour","grams,grams,grams,grams,grams,grams,grams,grams,grams,grams","Spicy pork sausages with red potato mash,Turnip beef stew with crusty fresh baked bread,Summer berry cheesecake"
180,Doodlebug,35.0,IBU Medium,2,5.0,Pale Gold,3,2.5,ABV Low,1,10.0,70.4,Atten Medium,2,"Doodlebug is our fusion of low strength and enormously high tropical hop levels â€“ think a mashup of Hop Fiction and How to Disappear Completely, and youâ€™re almost there. Clocking in at 2.8% ABV, Doodlebug is keg-only and is packed with Amarillo, Chinook and Mosaic; letting fly a hoppy buzzbomb at sub-session-strength.",https://images.punkapi.com/v2/keg.png,4.2,Hoppy Sub-Session Pale Ale.,Wheat and flaked oats can help to add to the body of the beer. This makes up for the lack of alcoholic bite.,IBU Medium Pale Gold ABV Low Atten Medium,"Pilsner,Wheat,Flaked Oats","kilograms,kilograms,kilograms","Chinook,Amarillo,Chinook,Mosaic,Amarillo,Chinook,Mosaic","start,end,end,end,dry hop,dry hop,dry hop","bitter,flavour,flavour,flavour,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams","Lightly curried spiced chickpea dip,Fried calamari with a mild sauce,Lemon sherbet cookies"
181,Vic Secret,70.0,IBU High,3,15.0,Deep Amber,8,7.4,ABV Low,1,30.0,82.6,Atten High,3,"Piney, citrusy and resinous with herbal notes, Vic Secret is dual-purpose (flavour & bitterness) perfect for brewing up a single hop IPA.",https://images.punkapi.com/v2/keg.png,4.4,Single Hop India Pale Ale.,"You can always add more hops, but it is difficult to take them away. Carry out multiple additions of the hops during dry hopping to achieve the best profile.",IBU High Deep Amber ABV Low Atten High,"Extra Pale,Caramalt,Dark Crystal","kilograms,kilograms,kilograms","Vic Secret,Vic Secret,Vic Secret,Vic Secret","start,middle,end,dry hop","bitter,flavour,flavour,aroma","grams,grams,grams,grams","Roasted duck,Gorgonzola and rye nut bread with smoked honey ham,Raspberry coffee cheesecake"
182,All Day Long - Prototype Challenge,30.0,IBU Medium,2,21.0,Brown,9,2.8,ABV Low,1,42.0,63.1,Atten Low,1,"Prototype Challenge 2014. All Day Long is a mild like no other. This complex, low-alcohol brew was the third of our 2014 Prototypes. Featuring a boatload of seven different speciality malts and some of our favourite hops, this beer is resinous at first, transitioning into something akin to bitter orange marmalade spread onto a thick bread crust. This is for everyone who said BrewDog would never brew a mild...",https://images.punkapi.com/v2/182.png,4.4,Malty Low ABV Ale.,"In any low ABV fermentation after primary fermentation has finished if the beer smells or tastes like wort, allow it to condition on the yeast for an extra 24 - 48 hours. This can round the profile off well.",IBU Medium Brown ABV Low Atten Low,Caramalt,kilograms,"Columbus,Cascade,Centennial,Columbus,Ahtanum,Centennial,Cascade,Amarillo","start,end,end,end,end,dry hop,dry hop,dry hop","bitter,flavour,flavour,flavour,flavour,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams","Chunky orange marmalade on toast,Prawn toast with sweet chilli sauce,Lemon tart"
183,Nuns With Guns,25.0,IBU Medium,2,9.5,Pale Amber,5,4.2,ABV Low,1,19.0,72.7,Atten Medium,2,"A dry-hopped Session Pilsner. At 4.2% this amber-hued lager packs a malty punch with toasty Munich character and a light caramel sweetness. From here, things take a sharp turn towards the hoppy flavour, with some serious US citrus packed classic hops.",https://images.punkapi.com/v2/183.png,4.4,Dry-Hopped Lager.,Keep the temperature of the fermentation as close to 12C as possible (or below). This allows the yeast to create a crisper and cleaner beer.,IBU Medium Pale Amber ABV Low Atten Medium,"Maris Otter Extra Pale,Caramalt,Munich","kilograms,kilograms,kilograms","Cascade,Cascade,Centennial,Chinook,Amarillo,Chinook,Amarillo,Cascade","start,end,end,end,end,dry hop,dry hop,dry hop","bitter,flavour,flavour,flavour,flavour,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams","Falafel and hummus pitta wrap,Bratwurst with spicy relish,Strawberry tart"
184,Atlantic IPA Ale,80.0,IBU High,3,13.0,Deep Amber,8,8.0,ABV Low,1,55.0,82.0,Atten High,3,"Like IPA historically would have been. Part of this beer was aged on a fishing boat in an oak cask and released as ""Atlantic IPA"".",https://images.punkapi.com/v2/184.png,4.4,IPA Of Yesteryear.,Ensure you aerate the wort to get a nice clean fermentation and really get the best out of the UK hops.,IBU High Deep Amber ABV Low Atten High,"Extra Pale,Amber,Crystal","kilograms,kilograms,kilograms","First Gold,East Kent Goldings,Fuggles,Bramling Cross,Goldings","start,middle,middle,end,dry hop","bitter,flavour,flavour,flavour,aroma","grams,grams,grams,grams,grams","Smoked venison sausage,Very mature Cheddar,Fettucine alfredo"
185,Tactical Nuclear Penguin,1157.0,IBU High,3,127.0,Black,12,32.0,ABV High,3,250.0,82.2,Atten High,3,"This beer is about pushing the boundaries, it is about taking innovation in beer to a whole new level. Dark and decadent, plum, treacle and roast coffee are amplified beyond any stout you've had before.",https://images.punkapi.com/v2/185.png,4.4,Uber Imperial Stout.,"This level of alcohol can be achieved using a domestic freezer. Use a container with a tap close to the bottom so you can run the un-frozen, concentrated beer from under the ice on top. You may have to do this three or four times.",IBU High Black ABV High Atten High,"Extra Pale,Dark Crystal,Chocolate,Roasted Barley","kilograms,kilograms,kilograms,kilograms","Chinook,Galena,Chinook,Galena,Galena,First Gold,Chinook","start,start,start,start,end,end,end","bitter,bitter,bitter,bitter,flavour,flavour,flavour","grams,grams,grams,grams,grams,grams,grams","Lobster thermidor,Pan fried Foie Gras,Vanilla bean white chocolate"
186,Jasmine IPA,40.0,IBU High,3,17.5,Amber Brown,7,5.8,ABV Low,1,35.0,76.7,Atten Medium,2,"This has big floral aromas backed up with some of our favourite fruity hop flavours. Bitter, bright and refreshing, our Jasmine IPA is a perfect spring beer for drinking outside (under a patio heater, with a pair of gloves on).",https://images.punkapi.com/v2/keg.png,4.4,Floral & Fruity India Pale Ale.,"When dry hopping with the jasmine, use a muslin or cloth like a tea bag, and make sure it has a heavy object in it (ensure its clean). This will help to keep the jasmine submerged in the beer for better flavour extraction.",IBU High Amber Brown ABV Low Atten Medium,"Pale Ale,Munich,Rye,Wheat","kilograms,kilograms,kilograms,kilograms","Motueka,Amarillo,Motueka,Jasmine,Motueka,Jasmine,Amarillo","start,end,end,end,dry hop,dry hop,dry hop","bitter,flavour,flavour,flavour,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams","Chicken satay,Thai fishcakes,Honey and almond sponge cake"
187,Lichtenstein Pale Ale,50.0,IBU High,3,8.5,Pale Amber,5,5.2,ABV Low,1,17.0,80.0,Atten Medium,2,"Dry-hopped with some of our hop heroes, bringing incredibly fruity aromas of zesty orange, pithy grapefruit, pungent pine and resin, backed up with spicy, toasty malt flavours of toffee, biscuit, rye bread and toast crust.",https://images.punkapi.com/v2/187.png,4.4,Us-Hopped Rye Pale Ale.,"Munich malt adds a biscuit sweetness, while the rye adds a spicy bready character.",IBU High Pale Amber ABV Low Atten Medium,"Extra Pale,Crystal 150,Munich,Rye","kilograms,kilograms,kilograms,kilograms","Centennial,Simcoe,Cascade,Amarillo,Simcoe,Cascade,Amarillo,Simcoe,Cascade,Centennial,Amarillo","start,middle,middle,middle,end,end,end,dry hop,dry hop,dry hop,dry hop","bitter,flavour,flavour,flavour,flavour,flavour,flavour,aroma,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams,grams,grams,grams","Spicy fish tacos,Bacon mac 'n' cheese,Pear crumble"
188,Paradox Jura,55.0,IBU High,3,152.0,Black,12,10.0,ABV Medium,2,300.0,89.0,Atten High,3,"Paradox. Reloaded. In 2011 we put Paradox into high gear to create an Imperial Stout destined for ageing. Loaded with dark roasted malts for a full bodied, toasted background, an array of bitter, earthy and resinous hops, and brewed with oats for a bold mouthfeel. This beer is the perfect canvas for barrel ageing.",https://images.punkapi.com/v2/188.png,4.4,Ubiquitous Imperial Stout.,Allow the fermentation to go as far as possible. Soak oak chips in whisky to get the barrel aged characteristic.,IBU High Black ABV Medium Atten High,"Extra Pale,Caramalt,Munich,Flaked Oats,Dark Crystal,Carafa Special Malt Type 1,Carafa Special Malt Type 3","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","Columbus,Columbus,Saaz,First Gold","start,middle,end,end","bitter,flavour,flavour,flavour","grams,grams,grams,grams","Smoked cured beef,Smoked aubergine tapenade with rye bread,Beer affogato - 1/3 glass of Paradox with a scoop of vanilla ice cream"
189,AB:11,70.0,IBU High,3,40.0,Black,12,12.8,ABV Medium,2,79.0,81.5,Atten Medium,2,"AB:11 is an Imperial Black Barley Wine brewed with ginger, black raspberries and chipotle peppers. A 12.8% rollercoaster of ginger zestiness and chipotle smokiness, all bound together with dark berry tartness and the decadent residual body of a Black Barley Wine.",https://images.punkapi.com/v2/189.png,4.4,"Black Barley Wine With Ginger, Raspberries, Chipotle Peppers.",Use chipotle morito chillies to add a subtle level of smoky character to the beer.,IBU High Black ABV Medium Atten Medium,"Extra Pale - Spring Blend,Caramalt,Munich,Amber,Crystal,Carafa Special Malt Type 1","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","Columbus,Columbus,Saaz,Columbus,Ginger Powder","start,middle,end,end,end","bitter,flavour,flavour,flavour,flavour","grams,grams,grams,grams,grams","Steak taquitos with spicy mole sauce,Herb roasted duck with a fruit sauce,Dark chocolate and chilli flourless cake"
190,Hello My Name is Sonja (w/ Evil Twin),70.0,IBU High,3,15.0,Deep Amber,8,8.3,ABV Low,1,30.0,82.9,Atten High,3,"Brewed in collaboration with Jeppe from Evil Twin Brewing (and named after his mum), this Double IPA is big on fruity flavours. Single hopped with Mosaic for lots of tropical, passion fruit and citrus flavours. Loaded with well over 100kg of blueberries, the original was one super fruity hop bomb.",https://images.punkapi.com/v2/190.png,4.4,Blueberry Double IPA.,Mash the blueberries before adding to the kettle. This will help with flavour extraction and turning your wort a nice shade of purple.,IBU High Deep Amber ABV Low Atten High,"Extra Pale,Caramalt,Wheat","kilograms,kilograms,kilograms","Mosaic,Mosaic,Mosaic,Blueberries,Mosaic","start,middle,end,end,dry hop","bitter,flavour,flavour,flavour,aroma","grams,grams,grams,grams,grams","Lamb chops with a blueberry reduction,Cured ham and strong mulled cheddar board,Warm blueberry pie"
191,Interstellar,55.0,IBU High,3,25.0,Ruby Brown,10,6.5,ABV Low,1,50.0,81.4,Atten Medium,2,"Interstellar is a Red Rye IPA with spicy rye flavours from the malt and with great all-round spicy, fruity and earthy hop aromas from the use of Willamette and Amarillo.",https://images.punkapi.com/v2/191.png,4.4,2013 Prototype Red Rye IPA.,Be careful with the rye malt in the run off. It can lead to stuck mashes and extended collection periods.,IBU High Ruby Brown ABV Low Atten Medium,"Extra Pale,Rye,Crystal 150,Dark Crystal,Acidulated Malt","kilograms,kilograms,kilograms,kilograms,kilograms","Magnum,Willamette,Amarillo,Willamette,Amarillo,Amarillo,Willamette","start,middle,middle,end,end,dry hop,dry hop","bitter,flavour,flavour,flavour,flavour,aroma,aroma","grams,grams,grams,grams,grams,grams,grams","Oak chip smoked salmon,Sticky spicy barbecue ribs,Scottish tablet"
192,Punk IPA 2007 - 2010,60.0,IBU High,3,8.5,Pale Amber,5,6.0,ABV Low,1,17.0,82.14,Atten High,3,"Our flagship beer that kick started the craft beer revolution. This is James and Martin's original take on an American IPA, subverted with punchy New Zealand hops. Layered with new world hops to create an all-out riot of grapefruit, pineapple and lychee before a spiky, mouth-puckering bitter finish.",https://images.punkapi.com/v2/192.png,4.4,Post Modern Classic. Spiky. Tropical. Hoppy.,"While it may surprise you, this version of Punk IPA isn't dry hopped but still packs a punch! To make the best of the aroma hops make sure they are fully submerged and add them just before knock out for an intense hop hit.",IBU High Pale Amber ABV Low Atten High,Extra Pale,kilograms,"Ahtanum,Chinook,Crystal,Chinook,Ahtanum,Chinook,Crystal,Motueka","start,start,middle,middle,end,end,end,end","bitter,bitter,flavour,flavour,flavour,flavour,flavour,flavour","grams,grams,grams,grams,grams,grams,grams,grams","Spicy carne asada with a pico de gallo sauce,Shredded chicken tacos with a mango chilli lime salsa,Cheesecake with a passion fruit swirl sauce"
193,Blitz Berliner Weisse,8.0,IBU Low,1,4.5,Pale Gold,3,3.0,ABV Low,1,9.0,82.5,Atten High,3,Our sour recipe for all fruit Blitz beers uses a process called kettle souring. In this we steep a bag of malt in the wort to allow the bacteria to grow in it.,https://images.punkapi.com/v2/keg.png,3.2,Berliner Fruit Beer.,"Making sour beers is an art, and is mostly related to trial and error with your process. Experiment with different temperatures for steeping the grain. 40 - 50Â°C willallow the lacto to grow and produce a clean profile.",IBU Low Pale Gold ABV Low Atten High,"Extra Pale,Wheat","kilograms,kilograms",Magnum,start,bitter,grams,"Grilled salmon with a light lemon sauce,Lobster bisque,Cheesecake with raspberry (or peach/passion fruit) sauce"
194,Hardkogt IPA,175.0,IBU High,3,20.0,Brown,9,7.6,ABV Low,1,40.0,80.6,Atten Medium,2,"Brewed for the beer maniacs in Denmark, this Double IPA quivered with kumquat, kiwi and orange pith all held together with a honeycomb malt body.",https://images.punkapi.com/v2/194.png,4.4,A Special Double IPA For Our Danish Friends.,Itâ€™s better to over-pitch your yeast here to ensure the beer ferments out.,IBU High Brown ABV Low Atten Medium,"Extra Pale,Crystal 150,Caramalt","kilograms,kilograms,kilograms","Columbus,Columbus,Centennial,Simcoe,Columbus,Centennial,Simcoe,Columbus,Centennial,Simcoe","start,middle,middle,middle,end,end,end,dry hop,dry hop,dry hop","bitter,flavour,flavour,flavour,flavour,flavour,flavour,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams,grams,grams","Thick cut salami pieces on tiger bread,Chilli spiced pork pie,Poached pear and blue cheese crumble"
195,Hello My Name Is Holy Moose,35.0,IBU Medium,2,12.5,Medium Amber,6,5.5,ABV Low,1,25.0,79.3,Atten Medium,2,"Cloudberry, lingonberry, blueberry and sea buckthorn meld with citrusy hops in an intensely sweet, fruity and floral aroma, with toasty malt notes and tropical fruit bursts. This bitter, resinous IPA follows up with a lemony punch in the mouth - cherry and blueberry sourness takes this pithy pale ale in a new direction before a long, dry finish.",https://images.punkapi.com/v2/195.png,4.4,Nordic Berry IPA.,"The mixture of berries and hops create a very intense flavour profile, a great brew for using up some spare hops.",IBU Medium Medium Amber ABV Low Atten Medium,"Extra Pale,Carared","kilograms,kilograms","Citra,Challenger,Centennial,Citra,Citra,Mosaic,Bramling Cross,Centennial,Citra,Bramling Cross,Mosaic,Nelson Sauvin,Simcoe","start,start,middle,middle,end,end,end,dry hop,dry hop,dry hop,dry hop,dry hop,dry hop","bitter,bitter,flavour,flavour,flavour,flavour,flavour,aroma,aroma,aroma,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams,grams,grams,grams,grams,grams","Warms goats cheese salad,Trifle or chocolate cake"
196,Catherine's Pony (w/ Beavertown),40.0,IBU High,3,95.0,Black,12,8.8,ABV Low,1,190.0,79.8,Atten Medium,2,"An Imperial Smoked Porter with a nose like gooseberries and blueberries, stuffed with coffee, covered in chocolate and toasted on a campfire by the beach, Catherineâ€™s Pony is robust and imposing with a herculean mouthfeel. Rich and smooth with roasted smoky flavours battling for prominence over the assertive bitterness. A satisfying hoppiness rounds off the palate.",https://images.punkapi.com/v2/196.png,4.5,Imperial Smoked Porter â€“ Beavertown Collab.,The smoke aroma comes from a mix of the Carafa malt and smoked malt. If you can't get hold of fresh smoked malt â€“ make your own in a barbeque - carefully!,IBU High Black ABV Low Atten Medium,"Extra Pale,Caramalt,Carafa Special Malt Type 2,Crystal 150,Smoked Warminster","kilograms,kilograms,kilograms,kilograms,kilograms","Magnum,Cascade,Fuggles,First Gold,Coffee","start,middle,middle,end,end","bitter,flavour,flavour,flavour,flavour","grams,grams,grams,grams,grams","Flame grilled steak,Venison and Winter vegetable stew,Maple bacon chocolate cupcakes"
197,Moshi Moshi 15,45.0,IBU High,3,17.5,Amber Brown,7,5.2,ABV Low,1,35.0,77.1,Atten Medium,2,"A riot of C-hops, with layers of grapefruit, lime zest, pine needles, freshly cut grass, pungent resin, layered up on toasty malt with a touch of caramel sweetness.",https://images.punkapi.com/v2/197.png,4.4,American Pale Ale Birthday Beer.,"Some Munich malt in this beer will lift the biscuity backbone, and provide much needed balance to the heavy hitting US hops.",IBU High Amber Brown ABV Low Atten Medium,"Extra Pale,Munich,Crystal 150,Caramalt","kilograms,kilograms,kilograms,kilograms","Columbus,Columbus,Centennial,Columbus,Centennial,Columbus,Centennial,Cascade","start,middle,middle,end,end,dry hop,dry hop,dry hop","bitter,flavour,flavour,flavour,flavour,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams","Spicy Vietnamese vermicelli salad,Spicy fish tacos with mango chilli,Banana bread"
198,AB:01,20.0,IBU Low,1,8.0,Pale Amber,5,10.2,ABV Medium,2,16.0,8.1,Atten Low,1,"Made with the yeast from a bottle of Westvleteren 12, aged with vanilla beans. Only available in 375ml bottles. Limited to 3200 bottles. The first in our Abstrakt series.",https://images.punkapi.com/v2/198.png,4.1,Vanilla Bean Infused Belgian Quad.,"To capture yeast from another bottle conditioned beer, simply make up a starter with some wort and grow the yeast up. Once it goes through a fermentation at 1 litre it can go straight into your wort to start the main fermentation.",IBU Low Pale Amber ABV Medium Atten Low,"Extra Pale,Wheat,Munich","kilograms,kilograms,kilograms","Saaz,Saaz,Styrian Goldings","start,end,end","bitter,flavour,flavour","grams,grams,grams","Baked brown butter lobster,Apple crumble and custard,Coffee carrot cake"
199,Alice Porter,55.0,IBU High,3,82.5,Black,12,5.2,ABV Low,1,165.0,75.5,Atten Medium,2,"First brewed in 2010, Alice Porter returned as a seasonal in 2015. The beer was originally created and brewed for (real life) Alice Porterâ€™s impending nuptials to the Beer King of Leeds, Matt Gorecki.",https://images.punkapi.com/v2/199.png,5.2,Enigmatic Dark Alchemy.,The Sorachi Ace hop addition at the end of the boil gives the beer a subtle vanilla flavour that helps to lighten the beer.,IBU High Black ABV Low Atten Medium,"Extra Pale,Munich,Crystal 150,Special W,Carafa Special Malt Type 1,Flaked Oats,Torrified Wheat","kilograms,kilograms,kilograms,kilograms,kilograms,kilograms,kilograms","Magnum,First Gold,First Gold,Sorachi Ace","start,middle,end,end","bitter,flavour,flavour,flavour","grams,grams,grams,grams","Applewood cheddar bacon beef burger,Roasted garlic camembert,Parmesan truffles"
200,Double IPA - Russian Doll,85.0,IBU High,3,17.5,Amber Brown,7,8.0,ABV Low,1,35.0,82.4,Atten High,3,"The levels of hops vary throughout the range. We love hops, so all four beers are big, bitter badasses, but by tweaking the amount of each hop used later in the boil and during dry- hopping, we can balance the malty backbone with some unexpected flavours. Simcoe is used in the whirlpool for all four beers, and yet still lends different characters to each.",https://images.punkapi.com/v2/200.png,5.2,Nesting Hop Bomb.,Create balance through experimentation with the hop amounts and malt backbone.,IBU High Amber Brown ABV Low Atten High,"Extra Pale,Caramalt,Dark Crystal","kilograms,kilograms,kilograms","Centennial,Cascade,Citra,Simcoe,Citra,Cascade,Simcoe,Cascade,Centennial,Citra","start,middle,middle,end,end,end,dry hop,dry hop,dry hop,dry hop","bitter,flavour,flavour,flavour,flavour,flavour,aroma,aroma,aroma,aroma","grams,grams,grams,grams,grams,grams,grams,grams,grams,grams","Strong cheddar fondue,Pork chops with spicy orange marmalade,Rich crème brûlée"
201,Waimea - IPA Is Dead,70.0,IBU High,3,15.0,Deep Amber,8,6.7,ABV Low,1,30.0,77.3,Atten Medium,2,"Waimea has a new world flavour, infusing unique fresh crushed citrus aroma and flavour notes into this IPA - think intense fresh tangelo, citrus fruit and pine needle characteristics. There is a huge depth of flavour with astringent gooseberry balanced against the robust malt base.",https://images.punkapi.com/v2/201.png,4.4,Single Hop India Pale Ale.,Use the freshest hops for the most impact.,IBU High Deep Amber ABV Low Atten Medium,"Extra Pale,Caramalt,Dark Crystal,Munich","kilograms,kilograms,kilograms,kilograms","Waimea,Waimea,Waimea,Waimea","start,middle,end,dry hop","bitter,flavour,flavour,aroma","grams,grams,grams,grams","Hot spiced barbecue chicken wings,Orange sesame chicken,Chocolate fondue with fruit"
